gender,tenure,service_1,service_2,tariff,expencies,RESULT
F,1,No,No,PRE,29.85,No
M,34,Yes,No,POST,56.95,No
M,2,Yes,No,PRE,53.85,Yes
M,45,No,No,POST,42.3,No
F,2,Yes,No,PRE,70.7,Yes
F,8,Yes,Yes,PRE,99.65,Yes
M,22,Yes,Yes,PRE,89.1,No
F,10,No,No,PRE,29.75,No
F,28,Yes,Yes,PRE,104.8,Yes
M,62,Yes,No,POST,56.15,No
M,13,Yes,No,PRE,49.95,No
M,16,Yes,No,POST,18.95,No
M,58,Yes,Yes,POST,100.35,No
M,49,Yes,Yes,PRE,103.7,Yes
M,25,Yes,No,PRE,105.5,No
F,69,Yes,Yes,POST,113.25,No
F,52,Yes,No,POST,20.65,No
M,71,Yes,Yes,POST,106.7,No
F,10,Yes,No,PRE,55.2,Yes
F,21,Yes,No,PRE,90.05,No
M,1,No,No,PRE,39.65,Yes
M,12,Yes,No,POST,19.8,No
M,1,Yes,No,PRE,20.15,Yes
F,58,Yes,Yes,POST,59.9,No
M,49,Yes,No,PRE,59.6,No
F,30,Yes,No,PRE,55.3,No
M,47,Yes,Yes,PRE,99.35,Yes
M,1,No,No,PRE,30.2,Yes
M,72,Yes,Yes,POST,90.25,No
F,17,Yes,No,PRE,64.7,Yes
F,71,Yes,Yes,POST,96.35,No
M,2,Yes,No,PRE,95.5,No
F,27,Yes,No,POST,66.15,No
M,1,Yes,No,PRE,20.2,No
M,1,Yes,No,PRE,45.25,No
F,72,Yes,Yes,POST,99.9,No
M,5,Yes,No,PRE,69.7,Yes
F,46,Yes,No,PRE,74.8,No
M,34,Yes,Yes,PRE,106.35,Yes
F,11,Yes,Yes,PRE,97.85,Yes
M,10,Yes,No,POST,49.55,No
F,70,Yes,Yes,POST,69.2,No
F,17,Yes,No,POST,20.75,No
F,63,Yes,Yes,POST,79.85,No
F,13,Yes,Yes,PRE,76.2,No
F,49,Yes,Yes,PRE,84.5,No
M,2,Yes,No,PRE,49.25,No
F,2,Yes,No,PRE,80.65,Yes
M,52,Yes,Yes,POST,79.75,No
F,69,Yes,Yes,POST,64.15,No
F,43,Yes,Yes,PRE,90.25,No
F,15,Yes,No,PRE,99.1,Yes
F,25,Yes,Yes,PRE,69.5,No
F,8,Yes,Yes,PRE,80.65,Yes
F,60,Yes,No,POST,74.85,No
M,18,Yes,Yes,PRE,95.45,Yes
F,63,Yes,Yes,POST,99.65,No
M,66,Yes,Yes,POST,108.45,No
F,34,Yes,Yes,POST,24.95,No
F,72,Yes,Yes,POST,107.5,No
F,47,Yes,Yes,PRE,100.5,No
M,60,Yes,Yes,PRE,89.9,No
M,72,No,No,POST,42.1,No
F,18,Yes,No,POST,54.4,No
F,9,Yes,Yes,PRE,94.4,Yes
F,3,Yes,No,PRE,75.3,No
M,47,Yes,Yes,POST,78.9,No
F,31,Yes,No,POST,79.2,No
F,50,Yes,No,POST,20.15,No
M,10,Yes,No,PRE,79.85,No
M,1,Yes,No,PRE,49.05,No
F,52,Yes,No,POST,20.4,No
M,64,Yes,Yes,POST,111.6,No
M,62,Yes,Yes,POST,24.25,No
F,3,Yes,No,PRE,64.5,No
F,56,Yes,Yes,POST,110.5,No
F,46,Yes,No,POST,55.65,No
F,8,Yes,No,PRE,54.65,No
M,30,Yes,No,PRE,74.75,No
F,45,Yes,Yes,POST,25.9,No
F,1,Yes,No,PRE,79.35,Yes
F,11,No,No,PRE,50.55,No
F,7,Yes,No,PRE,75.15,Yes
F,42,Yes,No,PRE,103.8,No
F,49,Yes,No,POST,20.15,No
M,9,Yes,Yes,PRE,99.3,No
F,35,Yes,No,POST,62.15,No
F,48,Yes,No,POST,20.65,No
F,46,Yes,No,POST,19.95,No
M,29,No,No,PRE,33.75,No
M,30,Yes,No,PRE,82.05,No
M,1,Yes,No,PRE,74.7,No
M,66,Yes,Yes,POST,84,No
F,65,Yes,Yes,PRE,111.05,No
M,72,Yes,Yes,POST,100.9,No
F,12,Yes,Yes,PRE,78.95,Yes
M,71,Yes,Yes,POST,66.85,No
M,5,Yes,No,PRE,21.05,Yes
M,52,Yes,No,POST,21,No
F,25,Yes,No,PRE,98.5,Yes
M,1,Yes,No,PRE,20.2,No
F,1,Yes,No,PRE,19.45,No
M,38,Yes,Yes,POST,95,No
F,66,No,No,POST,45.55,No
M,68,Yes,Yes,POST,110,Yes
M,5,No,No,PRE,24.3,No
F,72,Yes,Yes,POST,104.15,No
F,32,No,No,POST,30.15,No
M,43,Yes,Yes,POST,94.35,No
M,72,Yes,No,POST,19.4,No
M,55,Yes,Yes,PRE,96.75,Yes
F,52,Yes,No,POST,57.95,No
F,43,Yes,No,PRE,91.65,No
F,37,Yes,Yes,PRE,76.5,Yes
F,64,No,No,POST,54.6,No
M,3,Yes,No,PRE,89.85,No
F,36,No,No,POST,31.05,No
F,10,Yes,Yes,PRE,100.25,Yes
F,41,Yes,No,POST,20.65,No
M,27,Yes,Yes,PRE,85.2,No
F,56,Yes,Yes,POST,99.8,No
F,6,Yes,No,PRE,20.7,No
M,3,Yes,Yes,PRE,74.4,Yes
F,7,Yes,No,PRE,50.7,No
F,4,Yes,No,PRE,20.85,No
M,33,Yes,No,POST,88.95,No
F,27,Yes,Yes,PRE,78.05,Yes
M,72,Yes,Yes,POST,23.55,No
M,1,Yes,No,PRE,19.75,No
M,71,No,No,POST,56.45,No
F,13,Yes,Yes,PRE,85.95,No
F,25,No,No,PRE,58.6,Yes
M,67,Yes,No,POST,50.55,No
M,1,No,No,PRE,35.45,Yes
M,2,Yes,No,PRE,44.35,Yes
F,43,Yes,Yes,POST,25.7,No
F,23,Yes,No,PRE,75,No
F,64,Yes,No,POST,20.2,No
M,57,Yes,No,POST,19.6,No
F,1,Yes,No,PRE,70.45,Yes
F,72,Yes,Yes,POST,88.05,No
F,8,Yes,Yes,PRE,71.15,Yes
F,61,Yes,Yes,POST,101.05,No
M,64,Yes,Yes,POST,84.3,No
